ID,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
31,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
32,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Single,Single,Single,Single,Romantic Partner,Single,Single,Single,Single,Single,Single,Single
33,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Married,Married
34,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Married,Married,Married
37,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single
39,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
40,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married
41,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single
42,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
43,Single,Single,Single,Single,Single,Single,Romantic Partner,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married
44,Single,Single,Single,Romantic Partner,Romantic Partner,Single,Single,Single,Romantic Partner,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
45,Single,Single,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Married,Married,Married,Married,Married,Married,Married
48,Single,Single,Single,Single,Single,Single,Single,Single,Single,Single,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married,Married
49,Single,Single,Single,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner
50,Single,Single,Single,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Romantic Partner,Single,Single,Married,Married,Married,Married,Married,Married,Married,Married,Married
